model,level,run_id,task,n,f1_macro,accuracy,f1_weighted,precision_w,recall_w,kappa,kappa_interp,parse_rate
claude,L1,1,code,113,0.845,0.8319,0.8318,0.8625,0.8319,0.8238,Almost Perfect,1.0
claude,L1,1,theme,113,0.8829,0.9027,0.9014,0.907,0.9027,0.8775,Almost Perfect,1.0
claude,L1,2,code,113,0.8587,0.8407,0.8396,0.867,0.8407,0.833,Almost Perfect,1.0
claude,L1,2,theme,113,0.8886,0.9115,0.9102,0.9147,0.9115,0.8887,Almost Perfect,1.0
claude,L1,3,code,113,0.8581,0.8407,0.8399,0.8677,0.8407,0.833,Almost Perfect,1.0
claude,L1,3,theme,113,0.8817,0.9027,0.9014,0.9072,0.9027,0.8774,Almost Perfect,1.0
claude,L1,4,code,113,0.845,0.8319,0.8318,0.8625,0.8319,0.8238,Almost Perfect,1.0
claude,L1,4,theme,113,0.8829,0.9027,0.9014,0.907,0.9027,0.8775,Almost Perfect,1.0
claude,L1,5,code,113,0.8587,0.8407,0.8396,0.867,0.8407,0.833,Almost Perfect,1.0
claude,L1,5,theme,113,0.8886,0.9115,0.9102,0.9147,0.9115,0.8887,Almost Perfect,1.0
claude,L1,6,code,113,0.845,0.8319,0.8318,0.8625,0.8319,0.8238,Almost Perfect,1.0
claude,L1,6,theme,113,0.8829,0.9027,0.9014,0.907,0.9027,0.8775,Almost Perfect,1.0
claude,L1,7,code,113,0.8587,0.8407,0.8396,0.867,0.8407,0.833,Almost Perfect,1.0
claude,L1,7,theme,113,0.8886,0.9115,0.9102,0.9147,0.9115,0.8887,Almost Perfect,1.0
claude,L1,8,code,113,0.845,0.8319,0.8318,0.8625,0.8319,0.8238,Almost Perfect,1.0
claude,L1,8,theme,113,0.8829,0.9027,0.9014,0.907,0.9027,0.8775,Almost Perfect,1.0
claude,L1,9,code,113,0.845,0.8319,0.8318,0.8625,0.8319,0.8238,Almost Perfect,1.0
